"Order Reference","Order Period","Supplier Name","Order Total Amount","Order Status","Invoice Reference","Invoice Total Amount","Action"
1,"JAN-2022","Pegasus Ltd","     10,000.00","Closed",1,"      5,900.00","OK"
1,"JAN-2022","Pegasus Ltd","     10,000.00","Closed",2,"      4,100.00","OK"
2,"JAN-2022","Mottoway Corp.","    750,000.00","Open",2,"    100,000.00","To follow up"
2,"JAN-2022","Mottoway Corp.","    750,000.00","Open",3,"    300,000.00","To follow up"
2,"JAN-2022","Mottoway Corp.","    750,000.00","Open",4,"    249,000.00","To follow up"
3,"JAN-2022","Digisay Co. Ltd.","     57,300.00","Closed",2,"     47,300.00","OK"
3,"JAN-2022","Digisay Co. Ltd.","     57,300.00","Closed",3,"     10,000.00","OK"
4,"FEB-2022","Lamboni Stat Inc.","      6,800.00","Closed",1,"      3,200.00","OK"
4,"FEB-2022","Lamboni Stat Inc.","      6,800.00","Closed",2,"      3,000.00","OK"
5,"APR-2022","Emtello Ltd","     21,000.00","Closed",2,"      8,000.00","To follow up"
5,"APR-2022","Emtello Ltd","     21,000.00","Closed",3,"     13,000.00","To follow up"
6,"FEB-2022","Stuffie Stationery","    250,000.00","Open",2,"     24,300.00","OK"
6,"FEB-2022","Stuffie Stationery","    250,000.00","Open",3,"      4,300.00","OK"
6,"FEB-2022","Stuffie Stationery","    250,000.00","Open",4,"     25,400.00","OK"
6,"FEB-2022","Stuffie Stationery","    250,000.00","Open",5,"     50,200.00","OK"
6,"FEB-2022","Stuffie Stationery","    250,000.00","Open",6,"     70,800.00","OK"
6,"FEB-2022","Stuffie Stationery","    250,000.00","Open",7,"     60,000.00","OK"
7,"JUN-2022","Safedest Taxi Services","     26,700.00","Closed",2,"     17,200.00","OK"
8,"JUN-2022","Jinfix Computers","     85,200.00","Open",2,"     40,250.00","OK"
8,"JUN-2022","Jinfix Computers","     85,200.00","Open",3,"     44,950.00","OK"
9,"JUN-2022","Fireland Bros.","     36,800.00","Open",2,"     22,500.00","OK"
10,"JUL-2022","Foxy Electronics","    182,700.00","Closed",2,"    182,700.00","OK"
11,"JUL-2022","Lamboni Stat Inc.","     43,200.00","Closed",2,"     43,200.00","OK"
12,"AUG-2022","Pegasus Ltd","    265,000.00","Open",2,"     48,500.00","OK"
12,"AUG-2022","Pegasus Ltd","    265,000.00","Open",3,"    108,370.00","OK"
12,"AUG-2022","Pegasus Ltd","    265,000.00","Open",4,"     84,350.00","OK"
13,"AUG-2022","Mottoway Corp.","  5,819,625.00","Closed",2,"  5,819,625.00","OK"
14,"SEP-2022","Digisay Co. Ltd.","    400,120.00","Open",2,"    136,295.00","To follow up"
14,"SEP-2022","Digisay Co. Ltd.","    400,120.00","Open",3,"     26,800.00","To follow up"
14,"SEP-2022","Digisay Co. Ltd.","    400,120.00","Open",4,"     89,075.00","To follow up"
14,"SEP-2022","Digisay Co. Ltd.","    400,120.00","Open",5,"     43,350.00","To follow up"
